unit_id,blood_type,location_type,location_id,expiry_days_remaining
U00794,O-,hospital,H021,16
U00795,A+,hospital,H048,31
U00796,A+,bloodbank,BB042,39
U00797,O+,bloodbank,BB068,1
U00798,B+,bloodbank,BB022,41
U00799,A+,bloodbank,BB064,11
U00800,A+,hospital,H026,14
U00801,B+,hospital,H013,1
U00802,O-,hospital,H033,5
U00803,A+,bloodbank,BB075,31
U00804,B+,hospital,H041,38
U00805,O+,hospital,H022,5
U00806,A+,bloodbank,BB062,18
U00807,O+,hospital,H043,19
U00808,B+,bloodbank,BB055,29
U00809,O+,bloodbank,BB014,17
U00810,B+,hospital,H017,12
U00811,A+,hospital,H005,24
U00812,B+,hospital,H019,28
U00813,B-,hospital,H049,27
U00814,B+,bloodbank,BB084,4
U00815,O+,hospital,H027,27
U00816,B+,hospital,H012,22
U00817,B+,hospital,H014,33
U00818,B+,hospital,H007,23
U00819,A+,bloodbank,BB082,35
U00820,A+,bloodbank,BB054,23
U00821,O+,hospital,H043,22
U00822,A+,bloodbank,BB016,12
U00823,B+,hospital,H028,17
U00824,O+,bloodbank,BB070,34
U00825,A+,bloodbank,BB031,3
U00826,A+,hospital,H043,9
U00827,B+,bloodbank,BB095,29
U00828,A+,bloodbank,BB090,17
U00829,A+,bloodbank,BB068,38
U00830,A+,bloodbank,BB015,27
U00831,B+,hospital,H033,27
U00832,A+,bloodbank,BB010,21
U00833,A+,hospital,H025,42
U00834,A+,hospital,H042,30
U00835,O+,bloodbank,BB019,19
U00836,B+,hospital,H050,36
U00837,O-,bloodbank,BB094,7
U00838,B+,hospital,H002,7
U00839,B+,bloodbank,BB057,9
U00840,A+,hospital,H028,30
U00841,A+,hospital,H033,3
U00842,B+,bloodbank,BB065,31
U00843,B+,bloodbank,BB018,10
U00844,O+,hospital,H002,30
U00845,O+,bloodbank,BB097,1
U00846,B+,hospital,H014,24
U00847,B+,bloodbank,BB004,25
U00848,A+,hospital,H029,40
U00849,O-,hospital,H036,21
U00850,A+,bloodbank,BB056,6
U00851,B+,bloodbank,BB003,35
U00852,AB+,hospital,H033,9
U00853,A+,hospital,H043,2
U00854,A+,hospital,H035,35
U00855,A+,bloodbank,BB093,32
U00856,B+,bloodbank,BB064,1
U00857,O+,hospital,H001,36
U00858,A+,bloodbank,BB098,41
U00859,B-,bloodbank,BB046,36
U00860,B+,hospital,H016,6
U00861,O+,bloodbank,BB039,34
U00862,O+,hospital,H023,37
U00863,O+,bloodbank,BB033,15
U00864,O+,hospital,H007,27
U00865,B+,hospital,H042,17
U00866,O+,hospital,H004,34
U00867,B+,hospital,H001,38
U00868,O-,bloodbank,BB013,38
U00869,O+,hospital,H009,34
U00870,O-,bloodbank,BB048,15
U00871,B+,hospital,H034,23
U00872,O-,hospital,H036,20
U00873,A+,hospital,H036,29
U00874,O+,bloodbank,BB006,26
U00875,A+,hospital,H036,41
U00876,A+,hospital,H050,6
U00877,B+,hospital,H010,21
U00878,A+,hospital,H033,26
U00879,A+,hospital,H015,13
U00880,O+,bloodbank,BB006,28
U00881,A+,hospital,H044,29
U00882,O-,bloodbank,BB014,24
U00883,A-,bloodbank,BB099,14
U00884,A-,hospital,H004,18
U00885,A-,bloodbank,BB006,42
U00886,B+,hospital,H033,25
U00887,A+,hospital,H007,25
U00888,O+,bloodbank,BB006,6
U00889,B+,bloodbank,BB068,37
U00890,B+,hospital,H037,25
U00891,B+,bloodbank,BB054,21
U00892,A+,bloodbank,BB045,41
U00893,O+,hospital,H001,1
U00894,A+,hospital,H049,5
U00895,B+,hospital,H044,9
U00896,O+,hospital,H050,41
U00897,O+,hospital,H019,34
U00898,O-,hospital,H019,32
U00899,B+,hospital,H005,25
U00900,B+,hospital,H050,34
U00901,A+,bloodbank,BB054,16
U00902,A+,bloodbank,BB009,16
U00903,O+,bloodbank,BB035,7
U00904,O+,bloodbank,BB055,31
U00905,O+,hospital,H044,27
U00906,A+,bloodbank,BB022,13
U00907,O+,hospital,H041,37
U00908,B+,bloodbank,BB095,13
U00909,A+,hospital,H013,11
U00910,O+,hospital,H021,19
U00911,O+,bloodbank,BB023,10
U00912,B+,bloodbank,BB044,20
U00913,A+,hospital,H033,31
U00914,A+,hospital,H037,5
U00915,B+,bloodbank,BB008,16
U00916,A+,hospital,H042,38
U00917,O+,hospital,H014,19
U00918,A+,bloodbank,BB067,38
U00919,A+,bloodbank,BB008,29
U00920,O+,bloodbank,BB029,41
U00921,O-,hospital,H027,8
U00922,O+,hospital,H007,34
U00923,A+,hospital,H018,23
U00924,A+,hospital,H046,34
U00925,O+,hospital,H032,29
U00926,B+,bloodbank,BB041,15
U00927,A+,bloodbank,BB043,1
U00928,A-,bloodbank,BB087,12
U00929,A+,hospital,H029,4
U00930,B+,bloodbank,BB053,7
U00931,B+,hospital,H029,4
U00932,A+,bloodbank,BB043,37
U00933,B+,hospital,H017,30
U00934,O+,bloodbank,BB011,39
U00935,AB+,bloodbank,BB043,18
U00936,A+,hospital,H045,11
U00937,O+,hospital,H004,25
U00938,A+,bloodbank,BB087,11
U00939,A+,bloodbank,BB096,39
U00940,B+,bloodbank,BB016,14
U00941,O+,bloodbank,BB092,10
U00942,B+,bloodbank,BB061,16
U00943,B+,hospital,H005,26
U00944,A+,hospital,H013,3
U00945,A+,hospital,H026,6
U00946,A+,hospital,H020,6
U00947,B+,bloodbank,BB045,5
U00948,O+,hospital,H032,21
U00949,AB+,hospital,H012,23
U00950,B+,bloodbank,BB033,41
U00951,O+,hospital,H046,30
U00952,A+,bloodbank,BB034,23
U00953,B+,bloodbank,BB037,37
U00954,B+,hospital,H047,3
U00955,B+,bloodbank,BB033,7
U00956,O-,hospital,H040,33
U00957,A+,hospital,H036,13
U00958,A+,bloodbank,BB050,6
U00959,A+,hospital,H016,6
U00960,B-,hospital,H026,12
U00961,B+,hospital,H026,5
U00962,A+,hospital,H004,34
U00963,A+,bloodbank,BB050,10
U00964,A+,bloodbank,BB083,33
U00965,O+,hospital,H023,6
U00966,O+,hospital,H048,12
U00967,O+,hospital,H039,14
U00968,A+,hospital,H015,29
U00969,B+,hospital,H002,30
U00970,O+,bloodbank,BB043,8
U00971,O+,bloodbank,BB072,26
U00972,AB+,hospital,H049,10
U00973,A+,hospital,H041,34
U00974,O-,hospital,H013,32
U00975,B+,bloodbank,BB077,35
U00976,O+,bloodbank,BB024,41
U00977,A+,bloodbank,BB052,32
U00978,O+,bloodbank,BB067,32
U00979,O+,bloodbank,BB077,11
U00980,O-,bloodbank,BB043,20
U00981,O-,hospital,H043,32
U00982,B+,bloodbank,BB041,38
U00983,O+,bloodbank,BB086,40
U00984,O+,bloodbank,BB063,30
U00985,A+,hospital,H024,28
U00986,O+,bloodbank,BB097,5
U00987,A+,hospital,H003,18
U00988,A+,bloodbank,BB050,34
U00989,O+,hospital,H036,14
U00990,A+,hospital,H017,33
U00991,B+,bloodbank,BB049,36
U00992,A+,bloodbank,BB030,21
U00993,A+,bloodbank,BB006,9
U00994,O+,bloodbank,BB041,6
U00995,B+,hospital,H044,38
U00996,A+,hospital,H004,31
U00997,O+,hospital,H047,13
U00998,B+,bloodbank,BB096,10
U00999,A+,hospital,H044,35
U01000,O+,bloodbank,BB031,3
U01001,O-,bloodbank,BB099,22
U01002,B+,hospital,H007,19
U01003,O+,bloodbank,BB043,11
U01004,A+,hospital,H003,37
U01005,A+,bloodbank,BB078,14
U01006,B+,hospital,H006,15
U01007,A+,hospital,H033,15
U01008,A+,bloodbank,BB059,36
U01009,B+,bloodbank,BB010,16
U01010,O+,bloodbank,BB064,25
U01011,A+,bloodbank,BB021,36
U01012,AB+,hospital,H046,29
U01013,O+,hospital,H008,7
U01014,B+,hospital,H011,32
U01015,O+,bloodbank,BB008,41
U01016,O+,bloodbank,BB027,14
U01017,O+,hospital,H023,34
U01018,B+,hospital,H021,18
U01019,B+,bloodbank,BB010,26
U01020,A+,bloodbank,BB090,40
U01021,B+,hospital,H045,6
U01022,A+,hospital,H013,22
U01023,O+,hospital,H028,19
U01024,O+,hospital,H017,14
U01025,O+,hospital,H049,23
U01026,B+,hospital,H023,7
U01027,O+,bloodbank,BB084,13
U01028,B+,hospital,H008,23
U01029,A+,bloodbank,BB032,1
U01030,A+,hospital,H048,41
U01031,O+,bloodbank,BB022,19
U01032,A+,hospital,H029,6
U01033,B+,hospital,H049,35
U01034,B-,bloodbank,BB021,36
U01035,O+,hospital,H002,10
U01036,A+,hospital,H036,24
U01037,O+,bloodbank,BB061,37
U01038,AB+,bloodbank,BB022,28
U01039,B+,hospital,H035,41
U01040,B+,hospital,H023,11
U01041,A+,hospital,H032,32
U01042,B+,hospital,H011,13
U01043,O+,bloodbank,BB057,23
U01044,O+,hospital,H021,25
U01045,A+,hospital,H030,4
U01046,O+,hospital,H034,20
U01047,O+,bloodbank,BB011,2
U01048,B+,hospital,H012,2
U01049,O+,hospital,H010,13
U01050,B+,bloodbank,BB078,6
U01051,B+,bloodbank,BB063,27
U01052,A+,hospital,H038,24
U01053,A+,bloodbank,BB089,37
U01054,O+,hospital,H014,37
U01055,B+,hospital,H009,38
U01056,O+,hospital,H010,1
U01057,AB+,hospital,H031,31
U01058,AB+,bloodbank,BB077,31
U01059,O+,hospital,H028,16
U01060,O+,bloodbank,BB025,31
U01061,B-,bloodbank,BB089,29
U01062,B+,bloodbank,BB021,26
U01063,O+,bloodbank,BB082,29
U01064,O+,bloodbank,BB037,13
U01065,B+,bloodbank,BB090,29
U01066,A+,bloodbank,BB036,38
U01067,O+,bloodbank,BB090,4
U01068,O-,hospital,H015,4
U01069,A+,hospital,H002,9
U01070,O+,hospital,H050,6
U01071,A+,bloodbank,BB092,25
U01072,O+,hospital,H011,38
U01073,O+,hospital,H045,1
U01074,A+,hospital,H044,34
U01075,B+,hospital,H034,32
U01076,A+,bloodbank,BB014,20
U01077,O+,hospital,H045,22
U01078,B+,bloodbank,BB065,3
U01079,A+,bloodbank,BB033,38
U01080,O+,bloodbank,BB006,5
U01081,B+,hospital,H035,7
U01082,B+,hospital,H003,32
U01083,O+,hospital,H020,9
U01084,O-,bloodbank,BB077,30
U01085,A+,hospital,H016,15
U01086,O+,bloodbank,BB097,3
U01087,B+,bloodbank,BB057,15
U01088,A+,hospital,H018,10
U01089,A+,bloodbank,BB008,27
U01090,O+,bloodbank,BB090,41
U01091,B+,bloodbank,BB001,29
U01092,O+,hospital,H050,31
U01093,O+,hospital,H020,23
U01094,B+,bloodbank,BB078,16
U01095,O+,bloodbank,BB025,12
U01096,B+,hospital,H031,8
U01097,A+,hospital,H047,18
U01098,B+,bloodbank,BB080,26
U01099,O+,hospital,H010,14
U01100,B+,hospital,H036,41
U01101,A+,hospital,H001,37
U01102,O+,hospital,H008,7
U01103,O+,hospital,H011,42
U01104,O+,bloodbank,BB084,23
U01105,B+,hospital,H015,7
U01106,B+,hospital,H015,31
U01107,B+,hospital,H035,37
U01108,B+,hospital,H036,5
U01109,O+,bloodbank,BB043,21
U01110,O+,bloodbank,BB031,6
U01111,A-,bloodbank,BB013,20
U01112,O+,hospital,H010,27
U01113,B+,hospital,H041,14
U01114,B+,hospital,H024,21
U01115,O+,hospital,H048,22
U01116,A+,bloodbank,BB098,17
U01117,B+,bloodbank,BB026,39
U01118,O+,bloodbank,BB041,2
U01119,O+,bloodbank,BB037,13
U01120,B+,hospital,H016,26
U01121,A+,hospital,H021,2
U01122,B+,bloodbank,BB020,21
U01123,A+,hospital,H005,36
U01124,O+,hospital,H015,21
U01125,A+,hospital,H031,5
U01126,O+,bloodbank,BB021,37
U01127,B+,bloodbank,BB020,4
U01128,B+,bloodbank,BB100,35
U01129,O-,hospital,H004,35
U01130,B-,bloodbank,BB090,40
U01131,B+,hospital,H019,7
U01132,B+,hospital,H025,30
U01133,A-,hospital,H021,30
U01134,O+,bloodbank,BB009,10
U01135,A+,hospital,H033,41
U01136,A+,hospital,H004,35
U01137,A+,hospital,H021,14
U01138,B+,hospital,H035,26
U01139,O+,bloodbank,BB058,9
U01140,B+,bloodbank,BB075,27
U01141,O+,bloodbank,BB064,6
U01142,A+,bloodbank,BB018,3
U01143,B+,bloodbank,BB020,1
U01144,A+,bloodbank,BB038,4
U01145,O+,hospital,H044,33
U01146,A-,bloodbank,BB019,18
U01147,B+,hospital,H022,10
U01148,O+,hospital,H044,41
U01149,A+,bloodbank,BB053,37
U01150,O-,hospital,H011,11
U01151,B+,hospital,H037,41
U01152,AB+,bloodbank,BB013,28
U01153,O-,bloodbank,BB096,22
U01154,A+,bloodbank,BB091,14
U01155,O+,hospital,H043,20
U01156,B+,hospital,H002,16
U01157,O+,hospital,H021,11
U01158,B+,hospital,H022,7
U01159,O+,bloodbank,BB012,15
U01160,A+,hospital,H027,9
U01161,O+,bloodbank,BB056,32
U01162,O+,bloodbank,BB021,39
U01163,A+,hospital,H002,23
U01164,B+,hospital,H031,7
U01165,A+,hospital,H014,12
U01166,O+,bloodbank,BB071,9
U01167,O-,hospital,H037,29
U01168,O+,hospital,H047,37
U01169,A-,hospital,H011,16
U01170,B+,bloodbank,BB005,9
U01171,B+,hospital,H045,20
U01172,A-,hospital,H050,6
U01173,A-,bloodbank,BB099,33
U01174,O+,bloodbank,BB058,6
U01175,O+,bloodbank,BB038,22
U01176,O+,bloodbank,BB082,27
U01177,A+,hospital,H010,26
U01178,O+,bloodbank,BB036,19
U01179,B+,hospital,H013,18
U01180,A+,bloodbank,BB049,37
U01181,A+,bloodbank,BB046,25
U01182,O+,bloodbank,BB091,31
U01183,O+,hospital,H032,24
U01184,B+,bloodbank,BB019,2
U01185,B+,bloodbank,BB096,1
U01186,AB+,bloodbank,BB012,6
U01187,B+,bloodbank,BB074,17
U01188,A+,hospital,H031,20
U01189,A+,bloodbank,BB020,31
U01190,O+,bloodbank,BB061,29
U01191,O+,bloodbank,BB062,40
U01192,O+,bloodbank,BB004,36
U01193,O+,hospital,H012,19
U01194,O+,bloodbank,BB100,10
U01195,O+,hospital,H050,4
U01196,A+,hospital,H010,12
U01197,A+,hospital,H029,3
U01198,B+,bloodbank,BB009,35
U01199,O+,hospital,H005,9
U01200,O+,bloodbank,BB061,39
U01201,A+,hospital,H017,12
U01202,O+,hospital,H012,15
U01203,B+,bloodbank,BB069,2
U01204,B+,hospital,H032,35
U01205,O+,bloodbank,BB002,1
U01206,O+,hospital,H045,12
U01207,B+,bloodbank,BB019,35
U01208,O-,hospital,H016,6
U01209,O-,hospital,H011,13
U01210,O+,hospital,H012,12
U01211,A+,bloodbank,BB017,24
U01212,A+,bloodbank,BB100,3
U01213,B+,bloodbank,BB061,32
U01214,O+,bloodbank,BB097,14
U01215,O+,hospital,H027,13
U01216,A+,hospital,H013,40
U01217,O+,hospital,H029,33
U01218,O-,hospital,H034,28
U01219,O+,hospital,H035,26
U01220,A+,bloodbank,BB027,41
U01221,O+,hospital,H001,2
U01222,B+,hospital,H014,15
U01223,B+,bloodbank,BB023,21
U01224,A+,hospital,H045,17
U01225,B+,hospital,H050,10
U01226,B+,bloodbank,BB076,2
U01227,A+,bloodbank,BB036,8
U01228,A+,hospital,H020,11
U01229,O+,hospital,H042,7
U01230,B-,hospital,H004,29
U01231,A+,hospital,H048,27
U01232,A+,hospital,H010,3
U01233,O+,bloodbank,BB019,27
U01234,AB+,hospital,H049,32
U01235,A+,bloodbank,BB076,6
U01236,AB+,hospital,H021,27
U01237,O+,bloodbank,BB028,26
U01238,O+,bloodbank,BB003,28
U01239,O+,hospital,H005,4
U01240,B+,bloodbank,BB047,9
U01241,B+,hospital,H018,28
U01242,B+,bloodbank,BB096,28
U01243,B+,bloodbank,BB029,29
U01244,O-,bloodbank,BB005,24
U01245,O+,bloodbank,BB077,15
U01246,O+,hospital,H042,6
U01247,O+,bloodbank,BB046,2
U01248,O+,hospital,H044,8
U01249,O+,bloodbank,BB022,20
U01250,O+,hospital,H022,34
U01251,A+,bloodbank,BB065,14
U01252,A+,hospital,H015,5
U01253,O+,bloodbank,BB046,2
U01254,O+,hospital,H042,13
U01255,O+,hospital,H033,6
U01256,O+,hospital,H031,33
U01257,O+,bloodbank,BB083,24
U01258,B+,bloodbank,BB045,22
U01259,O+,bloodbank,BB017,38
U01260,B+,bloodbank,BB003,8
U01261,B+,hospital,H050,20
U01262,O-,hospital,H030,9
U01263,A+,bloodbank,BB061,11
U01264,A+,bloodbank,BB050,2
U01265,B+,hospital,H034,36
U01266,B+,bloodbank,BB083,36
U01267,O+,hospital,H019,20
U01268,A+,bloodbank,BB004,17
U01269,O+,hospital,H040,28
U01270,A+,bloodbank,BB002,13
U01271,O-,bloodbank,BB074,25
U01272,A+,bloodbank,BB009,4
U01273,AB+,bloodbank,BB081,42
U01274,B+,bloodbank,BB084,32
U01275,B+,hospital,H015,20
U01276,O+,hospital,H027,5
U01277,B+,bloodbank,BB087,13
U01278,B+,bloodbank,BB021,4
U01279,B+,bloodbank,BB001,27
U01280,A+,bloodbank,BB009,39
U01281,B+,bloodbank,BB037,27
U01282,AB+,bloodbank,BB061,22
U01283,B+,hospital,H038,42
U01284,B+,hospital,H029,2
U01285,O-,bloodbank,BB077,30
U01286,B+,hospital,H038,40
U01287,O+,bloodbank,BB062,24
U01288,O+,bloodbank,BB024,6
U01289,B+,bloodbank,BB013,1
U01290,A+,bloodbank,BB002,41
U01291,O+,bloodbank,BB058,15
U01292,O+,hospital,H038,36
U01293,A+,bloodbank,BB083,21
U01294,O+,hospital,H045,42
U01295,O+,hospital,H023,22
U01296,O-,hospital,H024,21
U01297,A+,hospital,H039,14
U01298,O+,bloodbank,BB027,14
U01299,B+,bloodbank,BB029,36
U01300,B+,hospital,H006,7
U01301,O-,hospital,H033,39
U01302,O+,hospital,H036,7
U01303,B-,bloodbank,BB061,11
U01304,A+,hospital,H045,35
U01305,O+,bloodbank,BB034,34
U01306,AB+,hospital,H038,37
U01307,A+,hospital,H030,9
U01308,A+,hospital,H048,4
U01309,A+,bloodbank,BB028,22
U01310,B+,hospital,H002,6
U01311,O+,hospital,H044,38
U01312,B+,hospital,H013,21
U01313,O+,bloodbank,BB057,32
U01314,A+,hospital,H011,27
U01315,O-,hospital,H018,14
U01316,O+,hospital,H030,33
U01317,B+,hospital,H008,3
U01318,O+,hospital,H049,38
U01319,A+,hospital,H011,8
U01320,O+,hospital,H006,35
U01321,A+,hospital,H046,28
U01322,O+,hospital,H029,19
U01323,A+,bloodbank,BB001,38
U01324,A+,bloodbank,BB047,31
U01325,B+,bloodbank,BB086,41
U01326,A+,hospital,H014,18
U01327,O+,bloodbank,BB074,31
U01328,A+,bloodbank,BB010,5
U01329,O-,hospital,H008,18
U01330,O+,hospital,H008,29
U01331,B+,bloodbank,BB018,3
U01332,A+,bloodbank,BB077,27
U01333,B+,hospital,H036,8
U01334,B+,hospital,H033,1
U01335,O+,bloodbank,BB057,37
U01336,O+,hospital,H036,8
U01337,B+,bloodbank,BB027,15
U01338,B+,hospital,H036,41
U01339,B+,hospital,H003,8
U01340,B+,bloodbank,BB022,42
U01341,B+,hospital,H033,10
U01342,AB+,bloodbank,BB095,19
U01343,AB+,hospital,H026,36
U01344,A+,hospital,H045,27
U01345,AB-,hospital,H046,23
U01346,O+,hospital,H002,24
U01347,AB+,hospital,H017,8
U01348,B+,bloodbank,BB002,13
U01349,A+,hospital,H006,28
U01350,A+,bloodbank,BB066,8
U01351,O+,bloodbank,BB083,34
U01352,O+,bloodbank,BB041,13
U01353,B+,hospital,H018,22
U01354,O+,bloodbank,BB005,11
U01355,O+,bloodbank,BB014,11
U01356,B+,hospital,H037,27
U01357,A+,bloodbank,BB094,14
U01358,O-,hospital,H002,20
U01359,A+,bloodbank,BB031,2
U01360,A+,hospital,H049,6
U01361,B+,bloodbank,BB085,10
U01362,AB+,bloodbank,BB067,4
U01363,O+,bloodbank,BB011,32
U01364,O+,bloodbank,BB072,27
U01365,B+,bloodbank,BB003,11
U01366,O+,hospital,H025,31
U01367,A+,bloodbank,BB038,2
U01368,O+,bloodbank,BB014,19
U01369,A+,hospital,H026,30
U01370,O+,hospital,H045,3
U01371,O+,bloodbank,BB042,15
U01372,A+,bloodbank,BB024,22
U01373,B+,hospital,H050,16
U01374,B+,bloodbank,BB096,37
U01375,A+,hospital,H028,30
U01376,B+,hospital,H044,31
U01377,O+,bloodbank,BB023,27
U01378,A+,hospital,H008,7
U01379,B+,hospital,H040,30
U01380,O+,bloodbank,BB078,36
U01381,B+,hospital,H015,10
U01382,O+,hospital,H011,3
U01383,A+,hospital,H025,22
U01384,B+,bloodbank,BB007,22
U01385,O+,hospital,H050,16
U01386,A+,bloodbank,BB003,21
U01387,B+,bloodbank,BB034,2
U01388,O+,bloodbank,BB062,3
U01389,A+,bloodbank,BB041,10
U01390,O+,bloodbank,BB037,14
U01391,A+,bloodbank,BB046,2
U01392,O+,hospital,H028,37
U01393,A+,bloodbank,BB050,42
U01394,A+,hospital,H018,24
U01395,B+,bloodbank,BB017,2
U01396,O+,hospital,H029,19
U01397,A+,hospital,H045,31
U01398,B+,bloodbank,BB004,17
U01399,B+,hospital,H032,22
U01400,B+,hospital,H024,35
U01401,B+,hospital,H044,1
U01402,B+,bloodbank,BB020,29
U01403,AB+,hospital,H030,4
U01404,A+,bloodbank,BB055,22
U01405,B+,hospital,H031,29
U01406,A+,bloodbank,BB039,36
U01407,A+,bloodbank,BB037,28
U01408,O+,hospital,H027,42
U01409,O+,bloodbank,BB074,10
U01410,B+,bloodbank,BB053,7
U01411,O+,bloodbank,BB026,36
U01412,B+,bloodbank,BB072,40
U01413,B+,bloodbank,BB073,31
U01414,O+,hospital,H031,31
U01415,O-,hospital,H013,13
U01416,O+,bloodbank,BB092,13
U01417,A+,hospital,H025,29
U01418,B+,bloodbank,BB010,9
U01419,B+,bloodbank,BB085,12
U01420,O+,bloodbank,BB087,22
U01421,A+,bloodbank,BB021,4
U01422,A+,hospital,H027,33
U01423,O+,hospital,H032,21
U01424,B+,bloodbank,BB077,3
U01425,B+,hospital,H025,28
U01426,O-,hospital,H030,41
U01427,O+,bloodbank,BB052,30
U01428,O+,hospital,H007,2
U01429,B+,bloodbank,BB074,15
U01430,A+,hospital,H044,26
U01431,O+,bloodbank,BB041,36
U01432,O+,bloodbank,BB022,13
U01433,B+,hospital,H045,8
U01434,B+,hospital,H035,40
U01435,O-,bloodbank,BB033,24
U01436,A+,hospital,H019,31
U01437,O+,hospital,H032,24
U01438,O+,bloodbank,BB014,36
U01439,A+,bloodbank,BB055,22
U01440,A+,bloodbank,BB014,19
U01441,B+,hospital,H012,1
U01442,A+,hospital,H025,1
U01443,O+,bloodbank,BB068,19
U01444,A+,bloodbank,BB039,26
U01445,B+,hospital,H042,17
U01446,A+,bloodbank,BB061,23
U01447,O+,bloodbank,BB016,19
U01448,O+,hospital,H044,14
U01449,O-,bloodbank,BB006,33
U01450,B+,hospital,H022,39
U01451,A+,bloodbank,BB076,3
U01452,O+,bloodbank,BB013,18
U01453,A+,hospital,H026,17
U01454,O+,hospital,H003,25
U01455,O-,hospital,H047,10
U01456,A+,hospital,H049,10
U01457,B+,bloodbank,BB022,30
U01458,A+,bloodbank,BB015,18
U01459,O+,hospital,H006,3
U01460,B+,bloodbank,BB088,42
U01461,O+,bloodbank,BB028,12
U01462,O+,bloodbank,BB079,41
U01463,B+,hospital,H044,17
U01464,O+,hospital,H050,26
U01465,B-,hospital,H047,26
U01466,O+,hospital,H047,27
U01467,A+,bloodbank,BB093,39
U01468,B+,bloodbank,BB022,38
U01469,A+,bloodbank,BB015,24
U01470,B+,bloodbank,BB050,41
U01471,B+,hospital,H027,13
U01472,A+,bloodbank,BB025,38
U01473,A+,hospital,H043,38
U01474,A+,bloodbank,BB010,6
U01475,O+,bloodbank,BB096,20
U01476,B+,hospital,H039,10
U01477,B+,bloodbank,BB013,35
U01478,B+,hospital,H007,28
U01479,O+,hospital,H022,18
U01480,O+,bloodbank,BB022,23
U01481,A+,hospital,H030,11
U01482,O+,bloodbank,BB055,4
U01483,A+,bloodbank,BB011,8
U01484,B+,bloodbank,BB065,17
U01485,AB+,hospital,H042,12
U01486,O+,hospital,H020,20
U01487,A+,bloodbank,BB030,22
U01488,B+,bloodbank,BB049,3
U01489,O+,hospital,H035,30
U01490,O+,bloodbank,BB072,5
U01491,O+,bloodbank,BB055,15
U01492,B+,bloodbank,BB017,23
U01493,O+,hospital,H047,29
U01494,O+,bloodbank,BB031,35
U01495,B+,bloodbank,BB063,26
U01496,A+,hospital,H033,5
U01497,O+,bloodbank,BB026,38
U01498,A+,hospital,H009,40
U01499,B+,bloodbank,BB063,11
U01500,B+,hospital,H039,16
U01501,A-,hospital,H004,1
U01502,A+,bloodbank,BB037,13
U01503,A-,hospital,H032,42
U01504,B+,hospital,H017,8
U01505,A+,bloodbank,BB043,19
U01506,A+,hospital,H004,17
U01507,B+,bloodbank,BB006,25
U01508,B+,bloodbank,BB061,12
U01509,O+,hospital,H014,31
U01510,O+,hospital,H002,15
U01511,A+,bloodbank,BB083,19
U01512,A+,bloodbank,BB061,30
U01513,B+,bloodbank,BB052,21
U01514,O-,bloodbank,BB066,19
U01515,B+,bloodbank,BB096,18
U01516,A+,bloodbank,BB098,37
U01517,O+,bloodbank,BB009,35
U01518,O+,bloodbank,BB038,30
U01519,O+,hospital,H049,5
U01520,B+,bloodbank,BB100,33
U01521,B+,bloodbank,BB028,1
U01522,O+,hospital,H044,16
U01523,O+,bloodbank,BB077,17
U01524,B+,bloodbank,BB076,19
U01525,A+,bloodbank,BB008,25
U01526,A+,hospital,H025,21
U01527,B-,bloodbank,BB004,9
U01528,A+,hospital,H029,3
U01529,B+,bloodbank,BB026,20
U01530,B+,hospital,H019,11
U01531,A+,hospital,H021,42
U01532,O+,hospital,H024,34
U01533,A+,bloodbank,BB003,31
U01534,B+,bloodbank,BB038,16
U01535,O+,hospital,H012,27
U01536,O+,hospital,H042,41
U01537,O+,bloodbank,BB046,30
U01538,B+,hospital,H012,36
U01539,O+,bloodbank,BB015,41
U01540,B+,hospital,H013,15
U01541,O+,hospital,H008,15
U01542,A+,bloodbank,BB078,39
U01543,B+,hospital,H033,35
U01544,B+,bloodbank,BB070,21
U01545,AB+,hospital,H046,10
U01546,O+,hospital,H032,11
U01547,O+,bloodbank,BB038,14
U01548,A+,hospital,H035,12
U01549,A+,hospital,H027,9
U01550,B+,bloodbank,BB035,24
U01551,O-,bloodbank,BB022,36
U01552,A+,bloodbank,BB029,3
U01553,A+,bloodbank,BB013,38
U01554,A+,hospital,H020,38
U01555,A+,hospital,H020,22
U01556,O-,hospital,H040,24
U01557,O+,bloodbank,BB005,17
U01558,O+,bloodbank,BB059,23
U01559,O+,hospital,H002,35
U01560,B+,hospital,H033,36
U01561,B+,bloodbank,BB019,28
U01562,B+,bloodbank,BB019,27
U01563,B+,hospital,H035,23
U01564,B+,bloodbank,BB071,18
U01565,O-,hospital,H010,6
U01566,O+,hospital,H014,31
U01567,A-,bloodbank,BB058,25
U01568,O-,hospital,H039,6
U01569,A+,bloodbank,BB086,39
U01570,O+,bloodbank,BB058,26
U01571,O+,bloodbank,BB083,37
U01572,O-,hospital,H010,9
U01573,O+,bloodbank,BB073,19
U01574,A+,bloodbank,BB005,18
U01575,B+,bloodbank,BB025,2
U01576,O+,bloodbank,BB053,3
U01577,A+,bloodbank,BB064,33
U01578,O+,bloodbank,BB033,23
U01579,A+,bloodbank,BB026,24
U01580,O+,hospital,H043,30
U01581,O+,hospital,H018,27
U01582,A+,hospital,H032,23
U01583,O+,bloodbank,BB087,36
U01584,A+,bloodbank,BB082,36
U01585,O+,bloodbank,BB086,24
U01586,A+,hospital,H006,9
U01587,A+,bloodbank,BB004,41
U01588,A+,bloodbank,BB084,11
U01589,A+,hospital,H042,29
U01590,A+,bloodbank,BB014,11
